Time,GT21_GEN_WATT,GT21_GEN_VAR,GT21_GEN_CURRENT,GT21_GEN_VOLTAGE,GT21_PWR_FACTOR,GT21_FUEL_GAS_PRESS,GT21_CSO,GT21_SPEED,GT21_IGV_CSO,GT21_IGV_FB,GT21_EXH_DAMPER_CMD,GT21_EXH_DAMPER_FB,GT21_COMP_IN_AIR_TEMP,GT21_RCA_TEMP_R,GT21_RCA_TEMP_L,GT21_DISC_TEMP2_R,GT21_DISC_TEMP2_L,GT21_DISC_TEMP3_R,GT21_DISC_TEMP3_L,GT21_DISC_TEMP4_R,GT21_DISC_TEMP4_L,GT21_BPT_AVG,GT21_EXH_GAS_TEMP_AVG,GT21_FUEL_GAS_FLOW,GT21_FUEL_GAS_SPLY_TEMP,GT21_STEAM_INJ_FLOW,GT21_WTR_INJ_FLOW,GT21_COMP_OUT_AIR_TEMP,GT21_COMB_PRESS,GT21_H2_W_GAS_TEMP33,GT21_H2_W_GAS_TEMP34,GT21_INJ_STEAM_TEMP,GT21_COMP_INDEX_PRESS,GT21_RAW_NOX,GT21_OXYGEN,GT21_INLET_AIR_FLOW,GT21_FG_DIFF_PRESS,GT21_INLET_AIR_DIFF_KKU,GT21_NOX_7O2,HG21_IN_GAS_PRESS,HG21_OUT_GAS_PRESS,HG21_IN_GAS_TEMP,HG21_OUT_GAS_TEMP,GT21_CEMS_STATUS,ST20_GEN_OUTPUT,AMB_TEMP,RELATIVE_HUMIDITY
01-Sep-22 00:00:00,79.180,13.560,3.278,13.859,0.984,23.267,49.854,3002.625,1.766,1.838,100.000,103.125,24.088,183.249,183.922,357.818,410.685,323.648,326.967,383.005,410.197,555.763,544.693,28.173,27.700,3.608,0.000,365.094,9.317,44.541,43.964,450.600,973.297,98.996,15.151,322.230,2435.585,18.366,239.346,47.488,9.193,543.097,112.512,Normal,95.500,25.219,93.559
01-Sep-22 00:05:00,79.100,15.720,3.282,13.900,0.978,23.240,49.877,2999.250,1.537,1.178,100.000,103.125,23.954,182.781,183.678,357.473,410.583,323.660,326.986,383.978,410.709,557.586,544.831,28.202,27.595,3.611,0.000,364.508,9.286,44.679,44.104,450.600,968.774,99.437,15.130,321.486,2441.959,18.233,239.561,46.110,9.173,544.206,111.964,Normal,95.125,25.215,93.437
01-Sep-22 00:10:00,79.380,21.520,3.333,13.979,0.959,23.214,49.827,2998.875,2.354,2.351,100.000,103.125,24.189,182.759,183.456,357.702,410.333,323.686,327.020,383.210,410.301,556.389,545.146,28.153,27.618,3.579,0.000,365.777,9.316,44.815,44.336,450.999,976.985,98.600,15.143,322.390,2436.195,18.451,238.052,39.894,9.425,543.850,111.932,Normal,95.375,25.223,93.086
01-Sep-22 00:15:00,79.420,22.800,3.341,13.997,0.955,23.231,49.864,2997.000,2.047,2.258,100.000,103.063,24.003,182.695,183.325,357.065,410.094,323.379,326.654,383.410,410.439,555.593,544.776,28.176,27.992,3.543,0.000,364.078,9.320,45.070,44.663,450.600,973.017,98.627,15.147,322.225,2441.992,18.428,238.300,37.823,9.599,543.327,112.115,Normal,95.375,25.214,93.196
01-Sep-22 00:20:00,79.600,18.880,3.323,13.938,0.968,23.229,49.929,2997.375,1.812,1.273,100.000,102.938,23.680,182.621,183.294,356.881,410.219,323.515,326.783,384.977,411.220,557.717,544.961,28.223,28.391,3.386,0.000,363.759,9.297,45.127,44.727,450.694,968.571,99.065,15.121,321.370,2453.608,18.237,238.260,47.072,9.398,544.532,112.251,Normal,95.500,25.336,92.621
01-Sep-22 00:25:00,79.260,16.000,3.296,13.896,0.981,23.230,49.992,2997.750,1.569,0.662,100.000,103.063,23.792,182.547,183.173,357.444,410.531,323.713,327.063,385.146,411.520,559.252,545.488,28.234,28.648,3.490,0.000,364.654,9.275,45.024,44.563,450.411,964.382,101.028,15.118,320.845,2457.351,18.171,242.859,41.031,8.900,545.216,111.748,Normal,95.125,25.344,92.850
01-Sep-22 00:30:00,79.320,12.880,3.283,13.837,0.986,23.245,49.965,3001.125,1.798,0.952,100.000,103.063,23.988,183.049,183.827,357.937,410.851,323.810,327.068,383.656,410.833,557.825,545.173,28.196,28.789,3.559,0.000,365.204,9.281,44.770,44.285,450.800,966.880,98.902,15.134,320.993,2449.760,17.983,238.425,44.534,8.694,544.292,112.090,Normal,95.000,25.159,93.440
01-Sep-22 00:35:00,79.020,13.600,3.278,13.840,0.983,23.210,49.934,2997.375,1.872,1.391,100.000,103.063,24.119,183.204,184.023,357.792,410.508,323.901,327.037,383.456,410.405,557.706,544.999,28.150,28.772,3.721,0.000,365.375,9.282,44.647,44.072,450.780,969.829,98.768,15.133,321.453,2445.507,18.135,238.054,45.315,8.626,544.107,112.239,Normal,95.375,25.100,93.674
01-Sep-22 00:40:00,79.240,12.160,3.280,13.819,0.987,23.167,49.906,2997.375,1.690,2.051,100.000,103.063,24.134,183.184,183.983,357.782,410.406,323.782,326.945,381.975,409.959,556.623,544.789,28.179,28.684,3.762,0.000,365.360,9.296,44.585,43.998,450.800,975.034,98.713,15.149,322.227,2453.926,18.175,238.567,45.513,9.332,543.501,112.167,Normal,95.125,25.098,93.787
01-Sep-22 00:45:00,79.340,10.840,3.273,13.823,0.988,23.237,49.922,2998.125,2.622,2.947,100.000,103.063,24.195,182.916,183.554,357.879,410.590,323.922,327.230,382.492,410.007,556.933,545.110,28.194,28.736,3.663,0.000,365.613,9.320,44.624,44.123,450.599,980.121,99.455,15.144,322.828,2450.296,18.281,240.163,46.746,9.409,544.000,111.884,Normal,95.625,25.105,93.902
